event_id,event_title,event_summary,main_tag,main_tags,keywords,key_phrases,start_date,end_date,discussion_count,message_count,chat_count,author_count,negative_count,toxic_count,negative_share,toxic_share,importance_score,status,is_hidden
e_01191,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 13:20 по 21.04.2026 13:20. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: пейн, ноги, чувствую, получать.",яндекс,яндекс,пейн|ноги|чувствую|получать,,2026-04-21 13:20:00,2026-04-21 13:20:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01193,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 13:25 по 21.04.2026 13:25. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: зачем, декларацию, доходы, писать, скорее.",яндекс,яндекс,зачем|декларацию|доходы|писать|скорее|налоговая|посчитает,,2026-04-21 13:25:00,2026-04-21 13:25:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01194,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 13:30 по 21.04.2026 13:30. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: пачка, гречки, дешевле, питательнее, хотя.",яндекс,яндекс,пачка|гречки|дешевле|питательнее|хотя|погоди|бикус,,2026-04-21 13:30:00,2026-04-21 13:30:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01195,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 13:31 по 21.04.2026 13:31. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: года, водителей, дефицит, россии, концу.",яндекс,яндекс,года|водителей|дефицит|россии|концу|составит|тыс,,2026-04-21 13:31:00,2026-04-21 13:31:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01196,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 13:51 по 21.04.2026 13:51. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: дешевле, чуть, делать, начале, каждого.",яндекс,яндекс,дешевле|чуть|делать|начале|каждого|своя|тактика,,2026-04-21 13:51:00,2026-04-21 13:51:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01202,Запуск и обсуждение WB Такси,"Тема «WB Такси» обсуждалась с 21.04.2026 14:21 по 21.04.2026 14:21. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: естественно, много, купила, аэропорт, аптеки.",WB Такси,WB Такси,естественно|много|купила|аэропорт|аптеки,,2026-04-21 14:21:00,2026-04-21 14:21:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01203,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 14:37 по 21.04.2026 14:37. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: катафот, сорянн, взял, 28км, прямо.",яндекс,яндекс,катафот|сорянн|взял|28км|прямо|дому|яшу,,2026-04-21 14:37:00,2026-04-21 14:37:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01205,Запуск и обсуждение WB Такси,"Тема «WB Такси» обсуждалась с 21.04.2026 15:08 по 21.04.2026 15:08. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: чует, мое, сердце, дружненько, завод.",WB Такси,WB Такси,чует|мое|сердце|дружненько|завод|пойдем|вроде,,2026-04-21 15:08:00,2026-04-21 15:08:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01206,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 15:14 по 21.04.2026 15:14. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: пользователь, беларуси, сравнил, поездку, вышло.",яндекс,яндекс,пользователь|беларуси|сравнил|поездку|вышло|почти|раза,,2026-04-21 15:14:00,2026-04-21 15:14:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01207,Запуск и обсуждение WB Такси,"Тема «WB Такси» обсуждалась с 21.04.2026 15:30 по 21.04.2026 15:30. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: стоит, ящерском, скрине, вижу, комфорту.",WB Такси,WB Такси|яндекс,стоит|ящерском|скрине|вижу|комфорту|самокат|арендовать,,2026-04-21 15:30:00,2026-04-21 15:30:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
e_01214,Общее обсуждение Яндекса,"Тема «яндекс» обсуждалась с 21.04.2026 16:02 по 21.04.2026 16:02. Внутри: 1 сообщений, 1 чатов, 1 участников. Ключевые сигналы: среднем, другой, возит, определенное, количество.",яндекс,яндекс,среднем|другой|возит|определенное|количество|заказов|фистинга,,2026-04-21 16:02:00,2026-04-21 16:02:00,1,1,1,1,0,0,0.0,0.0,5.17,новый,False
