discussion_id,message_id,discussion_source
d_parent_4bee4f832466,m_eec5d8ef2c44,parent_link_segment
d_parent_58d0a9dfb316,m_727d6a7bc743,parent_link_segment
d_parent_afdb97c899e2,m_4d36adc4752e,parent_link_segment
d_parent_7dd81dd56907,m_46b80b7646f9,parent_link_segment
d_parent_7dd81dd56907,m_80f7e2368003,parent_link_segment
d_parent_c88de22a84d1,m_0dfb51dff00c,parent_link_segment
d_parent_c88de22a84d1,m_a7da926106c7,parent_link_segment
d_parent_c88de22a84d1,m_eb73265852cf,parent_link_segment
d_parent_c88de22a84d1,m_c6025f52b99f,parent_link_segment
d_parent_5222f1afccfa,m_9de3276b6705,parent_link_segment
d_parent_5222f1afccfa,m_b57f2cc30362,parent_link_segment
d_parent_bec8d7e4700a,m_b8da706602c3,parent_link_segment
d_parent_bec8d7e4700a,m_65d493f6237a,parent_link_segment
d_parent_c2604adda9c3,m_22969cb17ad4,parent_link_segment
d_parent_360c470abe95,m_eaa5981379dd,parent_link_segment
d_parent_360c470abe95,m_ca855d0f7b22,parent_link_segment
d_parent_be5013e14066,m_8646ec50d38e,parent_link_segment
d_parent_501b7834618e,m_620d61abfa9f,parent_link_segment
d_parent_182969769b0b,m_e4d5d8980bff,parent_link_segment
d_parent_4c624d054e83,m_7b26bcd18f6b,parent_link_segment
d_parent_bc569df795d5,m_af31247e1a39,parent_link_segment
d_parent_bc569df795d5,m_de90fdec02d4,parent_link_segment
d_parent_5ae6c57011dd,m_bf9e6e3fa99e,parent_link_segment
d_parent_822e67fe000b,m_190b4faea91a,parent_link_segment
d_parent_afbb98cc6893,m_37e51f8e43b0,parent_link_segment
d_parent_58ad28f35392,m_8a9ab1e06e5b,parent_link_segment
d_parent_4cb6f5d09723,m_6e789585b46a,parent_link_segment
d_parent_f4d2235dff88,m_d3a2b2e8054d,parent_link_segment
d_parent_1c164e4805be,m_ec474ad7e01d,parent_link_segment
d_parent_b158830fc62b,m_a8058ca41ffb,parent_link_segment
d_parent_dce419584cbd,m_fe935c16e36c,parent_link_segment
d_parent_dce419584cbd,m_1ec237255c1f,parent_link_segment
d_parent_a81f05b674f6,m_650bbbd56a64,parent_link_segment
d_parent_fbcb085ea57a,m_655e0e1b1434,parent_link_segment
d_parent_f3b20206e3ec,m_54836c43e79e,parent_link_segment
d_parent_f3b20206e3ec,m_67ae98fc5bcf,parent_link_segment
d_parent_e6427b522597,m_a9af3452811a,parent_link_segment
d_parent_d8b58531a6e8,m_de60d38fdb4b,parent_link_segment
d_parent_73d24bd0dd8e,m_fb89238af596,parent_link_segment
d_parent_e482b33de693,m_b95df9d0f9f1,parent_link_segment
d_parent_cb94f68f3ef5,m_13ae41964513,parent_link_segment
d_parent_92b550fa14f8,m_6f28cacd7f41,parent_link_segment
d_parent_4f89de830cd9,m_7bbc9707e377,parent_link_segment
d_parent_a7edae333f5c,m_c5d067fae7d5,parent_link_segment
d_parent_a7edae333f5c,m_f8bab125feec,parent_link_segment
d_parent_616c54d20a39,m_54a9ce8e91e2,parent_link_segment
d_parent_057dc83e5c0a,m_8f96a9bb7405,parent_link_segment
d_parent_64f3dad5d128,m_4bc198b273db,parent_link_segment
d_parent_3aff0d24ee80,m_fb915c0bec52,parent_link_segment
d_parent_44dd91ae249c,m_95754a15d0f9,parent_link_segment
d_parent_b351049706a1,m_421fdbd232e7,parent_link_segment
d_parent_eb93999e3aa9,m_2c50b61b707e,parent_link_segment
d_parent_b7b3fd5928b1,m_41c45373161c,parent_link_segment
d_parent_5e711a78cf54,m_91fcc0dd7ffc,parent_link_segment
d_parent_5e711a78cf54,m_5c913adf267a,parent_link_segment
d_parent_5e711a78cf54,m_32a351b4f0c7,parent_link_segment
d_parent_5e711a78cf54,m_0ad751df2d5c,parent_link_segment
d_parent_94ed7d3e8807,m_ec30080c6fa5,parent_link_segment
d_parent_4a619eab78b4,m_e23ae16829f1,parent_link_segment
d_parent_4a619eab78b4,m_f93bba964340,parent_link_segment
d_parent_1b2692eda2cd,m_29b4e0d83871,parent_link_segment
d_parent_d7062455aad4,m_d3a5f48a2033,parent_link_segment
d_parent_27b4a5a4f707,m_6b6cbeb0c909,parent_link_segment
d_parent_0f0f85e1c4fd,m_f18cc45b2c51,parent_link_segment
d_parent_0f0f85e1c4fd,m_354dc2fedd82,parent_link_segment
d_parent_52cbbb6233ac,m_eca932b7d789,parent_link_segment
d_parent_562091ab4526,m_b6b82affd486,parent_link_segment
d_parent_c2cc53941354,m_802cb20d6ad6,parent_link_segment
d_parent_57f80c0cef43,m_3a6ed85ba14e,parent_link_segment
d_parent_81cdae25f392,m_d5f31ae36c40,parent_link_segment
d_parent_81cdae25f392,m_b8588413593a,parent_link_segment
d_parent_63342efde007,m_f85a505aaee3,parent_link_segment
d_parent_e30b636b1270,m_282a7406a822,parent_link_segment
d_parent_2a7dce67a98e,m_fd06fb177329,parent_link_segment
d_parent_2a7dce67a98e,m_8efc572c2af6,parent_link_segment
d_parent_14329fe48b9b,m_c3065a916cec,parent_link_segment
d_parent_c339302f189f,m_da5146102c8d,parent_link_segment
d_parent_562f712043aa,m_bd0b70fbe349,parent_link_segment
d_parent_b2f8866cf872,m_684ec6e3860f,parent_link_segment
d_parent_786a45c09ee6,m_345dcffaa7a3,parent_link_segment
d_parent_5ec2717f3371,m_8d18dcd2a807,parent_link_segment
d_parent_dba208a4c9f6,m_e595ca7e2fae,parent_link_segment
d_parent_980f50c9bcd4,m_82c80cc52241,parent_link_segment
d_parent_980f50c9bcd4,m_acaa19534969,parent_link_segment
d_parent_a3d8c8d4ad6f,m_68d76398f4e3,parent_link_segment
d_parent_2fa98c605d1e,m_6fb49b661df1,parent_link_segment
d_parent_7524df6929b4,m_ce5cf59504e1,parent_link_segment
d_parent_c6eccbf2623f,m_bf332db2f63b,parent_link_segment
d_parent_e172cc424528,m_6511e7e3af07,parent_link_segment
d_parent_4ca4d6230c02,m_76a01f521ef9,parent_link_segment
d_parent_76ba6f99f740,m_63d2ebce5051,parent_link_segment
d_parent_2708221d80af,m_831730d52b28,parent_link_segment
d_parent_5819c6f3d91f,m_adf372443122,parent_link_segment
d_parent_419163da5c3f,m_32bcba0c8da7,parent_link_segment
d_parent_60070e6955dd,m_2db2e7179359,parent_link_segment
d_parent_b260c9dd6f27,m_d461161c9387,parent_link_segment
d_parent_ba47d87b09a5,m_2f1d9642538f,parent_link_segment
d_parent_ba1247375531,m_6188c7a26581,parent_link_segment
d_parent_b8b53877e447,m_b6b6eaedb0d4,parent_link_segment
d_parent_d79a8a2f7dd4,m_e889130a0a73,parent_link_segment
d_parent_d79a8a2f7dd4,m_b04ae214e2b9,parent_link_segment
d_parent_d79a8a2f7dd4,m_09368da6e11f,parent_link_segment
d_parent_2790201bb99e,m_6b0eae2a7938,parent_link_segment
d_parent_0af9910b858d,m_1acbe5e7fc32,parent_link_segment
d_parent_0b8b8d266e21,m_aa1d37519afe,parent_link_segment
d_parent_9d7c3533cceb,m_8c92f73a1084,parent_link_segment
d_parent_9d7c3533cceb,m_f2687a63961a,parent_link_segment
d_parent_60a046be9a80,m_a2c3330ace81,parent_link_segment
d_parent_eb2119982a24,m_8ff50cecd0c3,parent_link_segment
d_parent_c88674ef4ee9,m_92b84d4fb343,parent_link_segment
d_parent_43dc50fdd8eb,m_e23860353360,parent_link_segment
d_parent_2a2041fa1355,m_3d15f51fd6ac,parent_link_segment
d_parent_7e3e7d21acf6,m_e86650b08509,parent_link_segment
d_parent_fb9cc20861bf,m_b35c080ba0a7,parent_link_segment
d_parent_3e94a36f056d,m_9028239e7c9e,parent_link_segment
d_parent_9d5a2d4c1965,m_c8b7a6add9c4,parent_link_segment
d_parent_2d6c1390b03a,m_9ac030bac3be,parent_link_segment
d_parent_23104d2c35dd,m_e41a627497fb,parent_link_segment
d_parent_464f4a2eaf7a,m_3a61d3a3e1df,parent_link_segment
d_parent_1b0a7ea220ed,m_33530bd3c99a,parent_link_segment
d_parent_5ae11bf8aba0,m_fea795424031,parent_link_segment
d_parent_cb2bb74951a5,m_aaffdb280393,parent_link_segment
d_parent_0bf60baf8e78,m_ccc3975cb96d,parent_link_segment
d_parent_f30dbf2699c3,m_1f149ecf3397,parent_link_segment
d_parent_38d1b7df9afc,m_c62232cb443f,parent_link_segment
d_parent_62d70e5b0b9c,m_185ebd35a5a9,parent_link_segment
d_parent_c10d56db628e,m_e9d4ec45c1a4,parent_link_segment
d_parent_cbe8c6bf65d5,m_edb360f0040c,parent_link_segment
d_parent_30611bcb2a7b,m_b0081709309c,parent_link_segment
d_parent_471f6fe1af17,m_af79b80d0b56,parent_link_segment
d_parent_471f6fe1af17,m_22d8b229b15b,parent_link_segment
d_parent_471f6fe1af17,m_9b255d4f6779,parent_link_segment
d_parent_0bf83959637d,m_ae7ec73e8b5c,parent_link_segment
d_parent_0bf83959637d,m_d43955c518be,parent_link_segment
d_parent_4e8691ce06eb,m_4890baaf5ec7,parent_link_segment
d_parent_ff56c629b7a3,m_781d7dd04829,parent_link_segment
d_parent_df35394203e5,m_72a799b06e36,parent_link_segment
d_parent_6136d446bc66,m_762964502266,parent_link_segment
d_parent_eae7cad91dc2,m_51ad9ca16a9a,parent_link_segment
d_parent_9dd6a7eae815,m_e81f57fbaae1,parent_link_segment
d_parent_6830888c3948,m_481629f6b853,parent_link_segment
d_parent_ddd670500eeb,m_22d3a1a8bc4b,parent_link_segment
d_parent_916fdae9dff4,m_b262b0986705,parent_link_segment
d_parent_1208fdd0d38f,m_c97375f31fcf,parent_link_segment
d_parent_716896a7071a,m_9107cb711517,parent_link_segment
d_parent_555b5914c202,m_7f865d6fedc8,parent_link_segment
d_parent_01c44cd468ab,m_8d187456e5be,parent_link_segment
d_parent_1c81f539a351,m_ee28442af82e,parent_link_segment
d_parent_2030acdae613,m_58c2f08d55b1,parent_link_segment
d_parent_d623d9f7097e,m_0e592a6b60a0,parent_link_segment
d_parent_2cb3a3883b3a,m_4cd19a9d844d,parent_link_segment
d_parent_5e4e268eec0f,m_838956cbd88a,parent_link_segment
d_parent_9ee289437bdf,m_feffe3d7c6d5,parent_link_segment
d_parent_40217818ff19,m_8a3199f5c820,parent_link_segment
d_parent_a3525f4eac87,m_f39bec92ac5d,parent_link_segment
d_parent_4875d5b03ed0,m_2a5d2ce62107,parent_link_segment
d_parent_a0eedf966a02,m_c0d81980e428,parent_link_segment
d_parent_b5f7cf04c8c9,m_6c090c404a3b,parent_link_segment
d_parent_ad464d2161a9,m_e8d5703e3939,parent_link_segment
d_parent_fa52d68dd2e2,m_29679d986a6f,parent_link_segment
d_parent_2de49ffdb5d6,m_f9b2cfc39e64,parent_link_segment
d_parent_acf15e5690d0,m_11c0a2d17f38,parent_link_segment
d_parent_123e083fdb6f,m_0a01c8483b4b,parent_link_segment
d_parent_123e083fdb6f,m_7b972dceffe5,parent_link_segment
d_parent_123e083fdb6f,m_cfa1f306cf96,parent_link_segment
d_parent_4c14d982c997,m_0f61ff1355aa,parent_link_segment
d_parent_f6051d423871,m_d498cb9c27d7,parent_link_segment
d_parent_f6051d423871,m_373208783f93,parent_link_segment
d_parent_52e2954f0d11,m_e8c797a4d484,parent_link_segment
d_parent_66ed15798be5,m_f7290041c0f9,parent_link_segment
d_parent_66ed15798be5,m_b78fc3c36683,parent_link_segment
d_parent_5f490eb3fd69,m_78c55d559d0c,parent_link_segment
d_parent_d785f71ff754,m_991fcc5cd571,parent_link_segment
d_parent_a934284926a9,m_d4d3f839c800,parent_link_segment
d_parent_64186c440611,m_3c8bdb1fd351,parent_link_segment
d_parent_31ce4cabee01,m_be6f4a11cca9,parent_link_segment
d_parent_08e81dee75db,m_01f5e4cfe2d9,parent_link_segment
d_parent_08e81dee75db,m_34b1165fa84f,parent_link_segment
d_parent_ac5d1ec6a48e,m_c68265ad2f2d,parent_link_segment
d_parent_a580e8935be6,m_829762692337,parent_link_segment
d_parent_32885b882ff3,m_3836a29544d6,parent_link_segment
d_parent_5e29c575ed8d,m_fb8ff714e2ba,parent_link_segment
d_parent_2cec94168794,m_c85a1c36b696,parent_link_segment
d_parent_bc7dc51df926,m_9da2ee0a240f,parent_link_segment
d_parent_6d7298f168f8,m_0737fe053ae0,parent_link_segment
d_parent_6d7298f168f8,m_65735ceea178,parent_link_segment
d_parent_6d7298f168f8,m_ab38388965e6,parent_link_segment
d_parent_6d7298f168f8,m_d840af9a5d50,parent_link_segment
d_parent_506d7616a006,m_80886d65a316,parent_link_segment
d_parent_506d7616a006,m_2194fb19a8cc,parent_link_segment
d_parent_87dbc81d0276,m_7d1da13be889,parent_link_segment
d_parent_ac82b91f8bbf,m_627215eb2b33,parent_link_segment
d_parent_f0f3a99e13b7,m_8788000596ca,parent_link_segment
d_parent_4ce69c3a2d08,m_5fffba6f13ac,parent_link_segment
d_parent_a2e309a2cb3b,m_3db1e336d37c,parent_link_segment
d_parent_a2e309a2cb3b,m_5822d33f8006,parent_link_segment
d_parent_a2e309a2cb3b,m_af127eea3913,parent_link_segment
d_parent_1bc8d4a27b72,m_5705ef2a73a1,parent_link_segment
d_parent_1bc8d4a27b72,m_fa35d56cf011,parent_link_segment
d_parent_1bc8d4a27b72,m_a67a50eab3aa,parent_link_segment
d_parent_570d7fb5e153,m_cbe75e151168,parent_link_segment
d_parent_b86877a5e80a,m_89c45125ed27,parent_link_segment
d_parent_cae2c6c0ec22,m_af9b8055556c,parent_link_segment
d_parent_cae2c6c0ec22,m_750e73845872,parent_link_segment
d_parent_211195be1b7b,m_dd893aea45e2,parent_link_segment
d_parent_211195be1b7b,m_ba9d77d293d5,parent_link_segment
d_parent_9e45604942db,m_1a3ca53301ca,parent_link_segment
d_parent_4576983563f0,m_0e8dc991e985,parent_link_segment
