event_id,discussion_id
e_00001,d_parent_f2802df4b988
e_00257,d_parent_41418e0499da
e_00001,d_parent_92582a472005
e_00258,d_parent_ff3ae6530cfd
e_00001,d_parent_f963b8bdbba7
e_00012,d_parent_61590774e0fb
e_00096,d_parent_720ba2eeb43a
e_00259,d_parent_f7a1dfc4034d
e_00096,d_parent_79400f37c5fa
e_00051,d_parent_c2df659e62dc
e_00096,d_parent_e44ad398b1cb
e_00076,d_parent_f9db73c5c9ee
e_00051,d_parent_95913e5175f7
e_00258,d_parent_46e46c1038da
e_00133,d_parent_675dbc9d5d44
e_00260,d_parent_732e55e6cdef
e_00076,d_parent_cd99313642ec
e_00096,d_parent_6e2bb04d7d52
e_00261,d_parent_3dff938fc49c
e_00262,d_parent_d72b110040a5
e_00096,d_parent_1661f5dc12e3
e_00263,d_parent_8c25ad6436a2
e_00051,d_parent_a122c4998820
e_00001,d_parent_92a88aee106a
e_00001,d_parent_0f65c669daac
e_00001,d_parent_02d700cf128d
e_00001,d_parent_512c3f3d8b63
e_00001,d_parent_010ea1e391dd
e_00096,d_parent_678a4717ac7a
e_00076,d_parent_265756463632
e_00096,d_parent_1e0dcf04c970
e_00001,d_parent_11af7a98e210
e_00096,d_parent_7c2522b44b19
e_00096,d_parent_013d6f1720e8
e_00001,d_parent_6112d642ede1
e_00264,d_parent_0cf097b788d0
e_00265,d_parent_b6b6de03bf2f
e_00051,d_parent_c66461b00d4b
e_00001,d_parent_89a94f583873
e_00096,d_parent_2068c9c19150
e_00096,d_parent_03808eba6244
e_00012,d_parent_bc395be8ce12
e_00266,d_parent_9f9ed13265ec
e_00001,d_parent_205fd42609ca
e_00267,d_parent_c3638a71dd5a
e_00268,d_parent_6509f945bd33
e_00051,d_parent_6d430fbbe48e
e_00001,d_parent_b8979c1f2841
e_00001,d_parent_dfd3e50e25b8
e_00096,d_parent_7f0f2765f386
e_00096,d_parent_56b3b807e3fe
e_00001,d_parent_93b55e0da349
e_00109,d_parent_f4d6c39abf77
e_00109,d_parent_6b9ca70c39b4
e_00001,d_parent_94aa11043e9e
e_00001,d_parent_e4ebd9548395
e_00096,d_parent_2e2f0b7c82cf
e_00001,d_parent_6d85155c1fd1
e_00001,d_parent_deeef35b144a
e_00096,d_parent_58a7a1f0890d
e_00001,d_parent_9b645cf5b98c
e_00077,d_parent_b696ed3dc5aa
e_00270,d_parent_54a4df6118ce
e_00001,d_parent_7f8cfbf2dad5
e_00001,d_parent_0ae0d64ca156
e_00096,d_parent_ad257695495e
e_00012,d_parent_08c7820397f2
e_00001,d_parent_2f6a8463e3e8
e_00001,d_parent_24e23a3c326e
e_00134,d_parent_2a115dae8797
e_00001,d_parent_84bf444400ee
e_00012,d_parent_c58eb87e3eb6
e_00134,d_parent_f9fdff488726
e_00001,d_parent_d334c9a48c03
e_00096,d_parent_b5f133029a83
e_00001,d_parent_9c1f1a124a7e
e_00271,d_parent_8c160676a09a
e_00272,d_parent_fae239f93e15
e_00273,d_parent_adba4064a5e0
e_00001,d_parent_bb46c56c9dc0
e_00096,d_parent_c4e7c2336fae
e_00274,d_parent_f5fbe1d0559c
e_00002,d_parent_8ff67216308b
e_00096,d_parent_18812aa56573
e_00012,d_parent_89e5ec9dc621
e_00003,d_parent_54d12a61ab14
e_00078,d_parent_f856560ab37d
e_00003,d_parent_a528097a0c0f
e_00096,d_parent_cd1da1d593d6
e_00275,d_parent_7dc5deed1fb3
e_00096,d_parent_789be2ce1249
e_00276,d_parent_37a6227cbc72
e_00277,d_parent_fb4cb69ccd57
e_00051,d_parent_b97ae13bce54
e_00003,d_parent_c758c65a8efb
e_00278,d_parent_f6618ca1cb4b
e_00003,d_parent_984b0a2fec9e
e_00051,d_parent_329565dc250c
e_00078,d_parent_0103894e6214
e_00003,d_parent_8b2d9088c2f0
e_00279,d_parent_16b55e387fa6
e_00003,d_parent_1783ab255139
e_00280,d_parent_05781840cac4
e_00281,d_parent_d17de59b2bd5
e_00096,d_parent_bb6e65561b23
e_00135,d_parent_9cd453316fd8
e_00078,d_parent_f92e8098a52d
e_00003,d_parent_e56c4690205f
e_00282,d_parent_957c9301e636
e_00078,d_parent_bbca9f8a31ef
e_00003,d_parent_bbd45a72d3d6
e_00003,d_parent_bc90c55260de
e_00135,d_parent_284cc71b12b4
e_00283,d_parent_7029896064cb
e_00003,d_parent_b188817db6a7
e_00096,d_parent_d13e0451c62f
e_00135,d_parent_2a6f54f8b6eb
e_00284,d_parent_eda5f6b9f32f
e_00284,d_parent_52e27999dd31
e_00003,d_parent_02e4ad8ca3a7
e_00135,d_parent_1e730a38c604
e_00096,d_parent_391dc5e9e86a
e_00003,d_parent_5c99bf3fca79
e_00096,d_parent_759e1a13f205
e_00135,d_parent_84bb3e2db3da
e_00096,d_parent_d7c77b45b8bf
e_00096,d_parent_f94ea51f6846
e_00285,d_parent_aa2c76e7a488
e_00096,d_parent_9c40d616551d
e_00096,d_parent_1699f50f536d
e_00286,d_parent_af976a5635b6
e_00078,d_parent_2b5ada0064ad
e_00096,d_parent_008f8d63ee65
e_00078,d_parent_0bc8076f593f
e_00287,d_parent_781bf2806cf2
e_00288,d_parent_d2350faccd55
e_00135,d_parent_0b91abf11550
e_00096,d_parent_6b4a1a094555
e_00078,d_parent_dcf60c777699
e_00135,d_parent_e81c6073bc30
e_00135,d_parent_3718999edbc5
e_00289,d_parent_ee44f3e46856
e_00003,d_parent_2137349622a3
e_00290,d_parent_d9a381d7f640
e_00291,d_parent_aa47dd9f48f0
e_00003,d_parent_553c01b8a29d
e_00292,d_parent_36e21e967847
e_00293,d_parent_38bb57649c61
e_00294,d_parent_8a781520f601
e_00003,d_parent_0ba4ae2dda44
e_00012,d_parent_6d5c8a49afc8
e_00012,d_parent_11d9a7a654d1
e_00003,d_parent_886e68318b8f
e_00003,d_parent_dcc387a290bf
e_00096,d_parent_b3f64bcf9555
e_00078,d_parent_cdff5242be4f
e_00012,d_parent_23ec89f0f949
e_00295,d_parent_f35d697a61e1
e_00296,d_parent_a3eead333676
e_00096,d_parent_d142bc8e3daf
e_00051,d_parent_b5805435f743
e_00135,d_parent_3632e978b98f
e_00096,d_parent_31ee79896ea5
e_00096,d_parent_84299a5fdb2f
e_00078,d_parent_6928ef046bd9
e_00096,d_parent_e648716fe47c
e_00096,d_parent_b8d740cb7edf
e_00096,d_parent_074cd17de262
e_00096,d_parent_5814ab04152e
e_00096,d_parent_a85921face95
e_00003,d_parent_662481f696f2
e_00297,d_parent_cff32efa3bec
e_00003,d_parent_439ba53cabd4
e_00298,d_parent_ea7c0aea8c9b
e_00096,d_parent_6ce173aa6109
e_00012,d_parent_3e71092a6a4d
e_00299,d_parent_07a582bd8d6d
e_00078,d_parent_b8ad009a78c6
e_00299,d_parent_c9288b274b99
e_00003,d_parent_9b9fad8b4389
